,#,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment,Senator
15,4,10/04/2017,Spouse,--,"Hamilton County Tenn GO BDS
Rate/Coupon: 4.00%
Matures: 03/01/2018",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
16,3,10/04/2017,Spouse,--,"Clarksville Tenn Nat Gas Acq
Rate/Coupon: 5.00%
Matures: 12/15/2020",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
17,2,09/28/2017,Spouse,--,"Montgomery County Tenn GO Sch
Rate/Coupon: 5.00%
Matures: 04/01/2025",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
18,1,09/28/2017,Spouse,--,"Knox County Tenn GO REF BDS
Rate/Coupon: 5.00%
Matures: 05/01/2020",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
19,3,09/13/2017,Spouse,--,"Metropolitan Govt Nashville Water and Sewer
Rate/Coupon: 5.00%
Matures: 07/01/2023",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
20,2,09/07/2017,Spouse,--,"Wilson County Tenn GO
Rate/Coupon: 5.00%
Matures: 04/01/2019",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
21,1,09/06/2017,Spouse,--,"Sevier County Tenn Pub Bldg
Rate/Coupon: 5.00%
Matures: 06/01/2018",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
22,4,05/31/2019,Spouse,--,"Little Star Partnership
Company: Little Star Partnership  (Victoria, Texas)
Description: Rental Real Estate",Other Securities,Purchase,"$100,001 - $250,000","Little Star Partnership is a family Company owned by Senator Alexander's wife and her four siblings. After the final settlement of their mother's estate, Senator Alexander's wife exchanged her interest in Starboard Corporation for an additional interest in Little Star Partnership. Starboard Corporation is also a family owned Company owned by the five siblings and the exchange occurred between the siblings.","Lamar,Alexander"
23,3,05/31/2019,Spouse,--,"Buhler Telferner Partnership
Company: Buhler Telferner Partnership  (Victoria, Texas)
Description: Rental real estate",Other Securities,Purchase,"$500,001 - $1,000,000","Buhler Telferner Partnership is a family Company owned by Senator Alexander's wife and her four siblings. After the final settlement of their mother's estate, Senator Alexander's wife exchanged her interest in Starboard Corporation for an additional interest in Buhler Telferner Partnership. Starboard Corporation is also a family owned Company owned by the five siblings and the exchange occurred between the siblings.","Lamar,Alexander"
24,2,05/31/2019,Spouse,--,"Starboard Corporation - Commercial Real Estate
Company: Starboard Corporation  (Victoria, TX)
Description: Commercial rental real estate",Non-Public Stock,Sale (Full),"$500,001 - $1,000,000","Starboard Corporation is a family Company owned by Senator Alexander's wife and her four siblings. After the final settlement of their mother's estate, Senator Alexander's wife exchanged her interest in Starboard Corporation for an additional interest in Buhler Telferner Partnership and Little Star Partnership. The two partnerships are also family owned Companies owned by the five siblings and the exchange occurred between the siblings.","Lamar,Alexander"
25,1,11/13/2019,Spouse,--,"McKinney Texas Indpt Sch Dist
Rate/Coupon: 5.00%
Matures: 02/15/2028",Municipal Security,Purchase,"$15,001 - $50,000",Notification of the transaction was delayed due to the holidays,"Lamar,Alexander"
26,1,07/11/2017,Spouse,--,"Marion County Tenn GO SCH REF BDS
Rate/Coupon: 4.00%
Matures: 04/01/2021",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
27,14,09/26/2014,Spouse,--,"Dickson TN Go Bond
Rate/Coupon: 5.0
Matures: 9/1/2015",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
28,13,06/01/2014,Spouse,--,"Metro Govt Nashville TN Go Bond
Rate/Coupon: 5.0
Matures: 10/01/2016",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
29,12,05/01/2014,Spouse,--,"Williamson County TN
Rate/Coupon: 4.5
Matures: 05/01/2018",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
30,11,01/29/2014,Spouse,--,"Hendersonville Tenn Util Distric Water and Sewer
Rate/Coupon: 4.0
Matures: 08/01/2023",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
31,10,10/17/2013,Spouse,--,"Bristol TN Electric
Rate/Coupon: 5.0
Matures: 09/01/2026",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
32,9,05/17/2013,Spouse,--,"Metro Gov Nashville & Davidson
Rate/Coupon: 5.0
Matures: 10/01/2016",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
33,8,03/07/2013,Spouse,--,"Houston Texas Utility Board
Rate/Coupon: .94
Matures: 05/15/2034",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
34,7,03/06/2013,Spouse,--,"Memphis TN Sewer System
Rate/Coupon: 4.2
Matures: 10/01/2022",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
35,6,02/26/2013,Spouse,--,"Tullahoma TN
Rate/Coupon: 1.0
Matures: 10/01/2013",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
36,5,12/01/2013,Spouse,--,"Memphis TN Electric System GO Bond
Rate/Coupon: 5.0
Matures: 12/01/2017",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
37,4,03/26/2013,Spouse,--,"Houston Texas Utility Board
Rate/Coupon: .94
Matures: 05/15/2034",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
38,3,06/14/2012,Spouse,--,"Metro Govt TN GO
Rate/Coupon: 4.5
Matures: 05/15/2030",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
39,2,11/01/2012,Spouse,--,"Memphis-Shelby County
Rate/Coupon: 5.5
Matures: 11/01/2017",Municipal Security,Sale (Full),"$50,001 - $100,000",--,"Lamar,Alexander"
40,1,10/24/2012,Spouse,--,"Franklin County TN Health
Rate/Coupon: 4.0
Matures: 09/01/2023",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
41,3,12/15/2015,Self,--,"Custom Foods of America Inc.
Company: Custom Foods of America Inc.  (Knoxville, Tennessee)
Description: Wholesale Food",Non-Public Stock,Sale (Partial),"$250,001 - $500,000",Sold to Leslee B Alexander Family Trust,"Lamar,Alexander"
42,2,12/15/2015,Self,--,"3600 Management LLC
Company: 3600 Management LLC  (Knoxville, Tennessee)
Description: Commercial Rental",Other Securities,Sale (Full),"$1,000,001 - $5,000,000",Sold to Lamar Alexander Family Trust,"Lamar,Alexander"
43,1,12/15/2015,Spouse,--,"Custom Foods of America Inc.
Company: Custom Foods of America Inc.  (Knoxville, Tennessee)
Description: Wholesale food",Non-Public Stock,Sale (Partial),"$250,001 - $500,000",Sold to Lamar Alexander Family Trust,"Lamar,Alexander"
44,1,10/30/2017,Spouse,--,"Tennessee HSG Dev Agy Resident Residential FIN Prog BDS
Rate/Coupon: 2.70%
Matures: 01/01/2024",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
45,1,04/01/2016,Spouse,--,"Montgomery County
Rate/Coupon: 5.00
Matures: 04/01/2018",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
46,1,06/14/2016,Spouse,--,"Kingsport Tenn GO Bond
Rate/Coupon: 3.00%
Matures: 03/01/2029",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
47,4,01/07/2016,Spouse,--,"METROPOLITAN NASHVILLE ARPT AU ARPT
Rate/Coupon: 5.00%
Matures: 07/01/2040",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
48,3,01/07/2016,Spouse,--,"LAKELAND TENN GO CAP OUTLAY NTS
Rate/Coupon: 5.00%
Matures: 03/01/2020",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
49,2,01/05/2016,Spouse,--,"ROBERTSON CNTY TENN GO REF BDS
Rate/Coupon: 3.00%
Matures: 04/01/2025",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
50,1,12/22/2015,Spouse,--,"ROBERTSON CNTY TENN GO SCH BDS
Rate/Coupon: 5.00%
Matures: 05/01/2022",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
51,1,11/07/2019,Spouse,--,"Corpus Christi Tex Indpt Sch D Ultd Tax Bldg
Rate/Coupon: 4.00%
Matures: 08/15/2032",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
52,1,09/08/2016,Spouse,--,"Shelby County Tenn Health EDL & Rev
Rate/Coupon: 5.25%
Matures: 09/01/2023",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
53,1,08/31/2018,Spouse,--,"Maury County TN GO BDS
Rate/Coupon: 5%
Matures: 04/01/2023",Municipal Security,Sale (Full),"$50,001 - $100,000",--,"Lamar,Alexander"
54,5,10/12/2018,Spouse,--,"Montgomery County TN Go REF BDS
Rate/Coupon: 4.0%
Matures: 04/01/2019",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
55,4,10/23/2018,Spouse,--,"University Texas Univ Revs REV FIN SYS REF BDS
Rate/Coupon: 5.0%
Matures: 08/15/2032",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
56,3,10/12/2018,Spouse,--,"Plano Texas Indpt Sch Dis Ultd Tax REF BDS
Rate/Coupon: 5.0%
Matures: 02/15/2024",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
57,2,05/17/2019,Spouse,--,"Tennessee St. Sch BD Auth Higher
Rate/Coupon: 5.00%
Matures: 11/01/2024",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
58,1,05/17/2019,Spouse,--,"Chattanooga Tenn Elec Rev Ref
Rate/Coupon: 5.00%
Matures: 09/01/2027",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
59,1,05/01/2018,Self,--,"Undeveloped Land-TOPOL
Company: Wyoming Orthopaedics Institute, LLC  (Casper, WY)
Description: Real Estate Partnership",Other Securities,Sale (Full),"$50,001 - $100,000",--,"John A,Barrasso"
60,7,12/05/2014,Spouse,ALSK,Alaska Communications Systems Group Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Mark,Begich"
61,6,11/25/2014,Child,EAD,Wells Fargo Advantage Income Op (AMEX),,Purchase,"$1,001 - $15,000",--,"Mark,Begich"
62,5,11/21/2014,Spouse,NBG,National Bank of Greece S.A. (NYSE),,Purchase,"$1,001 - $15,000",--,"Mark,Begich"
63,4,11/21/2014,Child,NLY,"Annaly Capital Management, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Mark,Begich"
64,3,11/21/2014,Spouse,EAD,Wells Fargo Advantage Income Op (AMEX),,Purchase,"$1,001 - $15,000",--,"Mark,Begich"
65,2,11/21/2014,Spouse,NBG,National Bank of Greece S.A. (NYSE),,Purchase,"$1,001 - $15,000",--,"Mark,Begich"
66,1,11/10/2014,Self,NBG,National Bank of Greece S.A. (NYSE),,Purchase,"$1,001 - $15,000",--,"Mark,Begich"
67,1,09/02/2014,Self,ACUS,"Acusphere, Inc. (OTC Markets)",,Purchase,"$1,001 - $15,000",--,"Mark,Begich"
68,1,03/19/2014,Spouse,--,E Trade Financial Corporation,,Sale (Full),"$15,001 - $50,000",--,"Mark,Begich"
69,2,01/22/2014,Self,KERX,Keryx Biopharmaceuticals Inc. (NASDAQ),,Sale (Partial),"$1,001 - $15,000",--,"Mark,Begich"
70,1,01/22/2014,Self,IMH,Impac Mortgage Holdings Inc. (AMEX),,Purchase,"$1,001 - $15,000",--,"Mark,Begich"
71,1,01/25/2017,Self,--,"Continuum Real Estate Investors 2016, LLC
Company: Continuum Real Estate Investors 2016, LLC  (Denver , CO)
Description: Private Equity",Other Securities,Purchase,"$250,001 - $500,000",--,"Michael F,Bennet"
72,1,03/28/2017,Self,RGC,Regal Entertainment Group,Stock,Sale (Partial),"$500,001 - $1,000,000",--,"Michael F,Bennet"
73,2,12/08/2017,Self,RGC,Regal Entertainment Group,Stock,Sale (Full),"$500,001 - $1,000,000",--,"Michael F,Bennet"
74,1,11/01/2017,Self,"LVLT
CTL","Level 3 Communications, Inc. (Exchanged)
CenturyLink, Inc. (Received)",Stock,Exchange,"$50,001 - $100,000",Shares of CTL received as a result of merger.,"Michael F,Bennet"
75,1,03/01/2019,Self,--,"More
Company: More  (Ebene, Muritius (India))
Description: Grocery Chain",Other Securities,Purchase,"$100,001 - $250,000",Underlying asset of Madeira Capital Investments Limited,"Michael F,Bennet"
76,1,08/27/2020,Self,--,"More
Company: More  (Ebene, Muritius (India))
Description: Grocery Chain",Other Securities,Purchase,"$1,001 - $15,000",Underlying asset of Madeira Capital Investments Limited,"Michael F,Bennet"
77,1,03/30/2020,Self,--,"CP Kent Place Member LLC
Company: CP Kent Place Member LLC  (Denver, CO)
Description: Holding Company",Other Securities,Purchase,"$100,001 - $250,000",Underlying asset - Commercial Real Estate,"Michael F,Bennet"
78,2,11/26/2019,Spouse,KHC,"The Kraft Heinz Company
Option Type: Neither
Strike price: $24.96
Expires: 02/23/2020",Stock Option,Sale (Partial),"$1,001 - $15,000",Option received as part of compensation.,"Roy,Blunt"
79,1,12/02/2019,Spouse,MDLZ,"Mondelez International, Inc.
Option Type: Neither
Strike price: $24.87
Expires: 02/23/2022",Stock Option,Sale (Partial),"$50,001 - $100,000",Option as part of compensation from employer prior to company split.,"Roy,Blunt"
80,3,12/11/2015,Spouse,--,CSCO,Stock,Sale (Full),"$1,001 - $15,000",--,"Roy,Blunt"
81,2,12/04/2015,Spouse,--,PM,Stock,Sale (Full),"$1,001 - $15,000",--,"Roy,Blunt"
82,1,12/30/2015,Spouse,--,"MDLZ (stock option)
Option Type: Neither
Strike price: $24.86
Expires: 02/23/2022",Stock Option,Sale (Full),"$50,001 - $100,000",--,"Roy,Blunt"
83,2,11/26/2019,Spouse,KHC,"The Kraft Heinz Company
Option Type: Neither
Strike price: $24.96
Expires: 02/23/2020",Stock Option,Sale (Full),"$1,001 - $15,000",Option received as part of compensation.,"Roy,Blunt"
84,1,12/02/2019,Spouse,MDLZ,"Mondelez International, Inc.
Option Type: Neither
Strike price: $24.87
Expires: 02/23/2022",Stock Option,Sale (Full),"$50,001 - $100,000",Option as part of compensation from employer prior to company split.,"Roy,Blunt"
85,1,11/11/2014,Spouse,MDLZ,"Mondelez International, Inc. (NASDAQ)",,Sale (Full),"$50,001 - $100,000",--,"Roy,Blunt"
86,3,12/11/2015,Spouse,--,CSCO,Stock,Sale (Full),"$1,001 - $15,000",--,"Roy,Blunt"
87,2,12/04/2015,Spouse,--,PM,Stock,Sale (Full),"$1,001 - $15,000",--,"Roy,Blunt"
88,1,12/30/2014,Spouse,--,MDLZ (stock option),,Sale (Full),"$50,001 - $100,000",--,"Roy,Blunt"
89,11,08/08/2014,Self,NKE,"Nike, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
90,10,08/08/2014,Self,IRM,Iron Mountain Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
91,9,08/08/2014,Self,IBM,International Business Machines Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
92,8,08/08/2014,Self,FB,"Facebook, Inc. (NASDAQ)",,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
93,7,08/08/2014,Self,AMZN,Amazon.com Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
94,6,08/08/2014,Self,AAPL,Apple Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
95,5,08/08/2014,Self,DISH,Dish Network Corp. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
96,4,08/08/2014,Self,AMT,American Tower Corporation (NYSE),,Sale (Full),"$50,001 - $100,000",--,"Cory A,Booker"
97,3,08/08/2014,Self,EBAY,eBay Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
98,2,08/08/2014,Self,IRM,Iron Mountain Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
99,1,08/08/2014,Self,NFLX,"Netflix, Inc. (NASDAQ)",,Sale (Full),"$15,001 - $50,000",--,"Cory A,Booker"
100,11,08/08/2014,Self,NKE,"Nike, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
101,10,08/08/2014,Self,IRM,Iron Mountain Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
102,9,08/08/2014,Self,IBM,International Business Machines Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
103,8,08/08/2014,Self,FB,"Facebook, Inc. (NASDAQ)",,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
104,7,08/08/2014,Self,AMZN,Amazon.com Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
105,6,08/08/2014,Self,AAPL,Apple Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
106,5,08/08/2014,Self,DISH,Dish Network Corp. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
107,4,08/08/2014,Self,AMT,American Tower Corporation (NYSE),,Sale (Full),"$50,001 - $100,000",--,"Cory A,Booker"
108,3,08/08/2014,Self,EBAY,eBay Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
109,2,08/08/2014,Self,IRM,Iron Mountain Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Cory A,Booker"
110,1,08/08/2014,Self,NFLX,"Netflix, Inc. (NASDAQ)",,Sale (Full),"$15,001 - $50,000",--,"Cory A,Booker"
111,2,05/18/2016,Spouse,CHTR,"Charter Communications, Inc.",Stock,Exchange,"$1,001 - $15,000",Received,"Barbara,Boxer"
112,1,05/18/2016,Spouse,--,"TWC - Time Warner Cable, Inc.",Stock,Exchange,"$1,001 - $15,000",Given,"Barbara,Boxer"
113,1,04/28/2016,Self,RNWK,RealNetworks Inc.,Stock,Sale (Partial),"$1,001 - $15,000",Sale of two blocks,"Maria,Cantwell"
114,4,06/06/2014,Self,RNWK,RealNetworks Inc. (NASDAQ),,Sale (Partial),"$1,001 - $15,000",--,"Maria,Cantwell"
115,3,06/06/2014,Self,RNWK,RealNetworks Inc. (NASDAQ),,Sale (Partial),"$1,001 - $15,000",--,"Maria,Cantwell"
116,2,06/06/2014,Self,RNWK,RealNetworks Inc. (NASDAQ),,Sale (Partial),"$1,001 - $15,000",--,"Maria,Cantwell"
117,1,06/06/2014,Self,RNWK,RealNetworks Inc. (NASDAQ),,Sale (Partial),"$1,001 - $15,000",--,"Maria,Cantwell"
118,20,01/04/2018,Spouse,GWW,"W.W. Grainger, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
119,19,01/04/2018,Spouse,GE,General Electric Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
120,18,01/04/2018,Spouse,RDS-A,Royal Dutch Shell plc,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
121,17,01/04/2018,Spouse,PG,The Procter & Gamble Company,Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
122,16,01/04/2018,Spouse,NSC,Norfolk Southern Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
123,15,01/04/2018,Spouse,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
124,14,01/04/2018,Spouse,MRK,"Merck & Co., Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
125,13,01/04/2018,Spouse,IBM,International Business Machines Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
126,12,01/04/2018,Spouse,INTC,Intel Corporation,Stock,Sale (Partial),"$15,001 - $50,000",--,"Shelley M,Capito"
127,11,01/04/2018,Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
128,10,01/04/2018,Spouse,KO,The Coca-Cola Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
129,9,01/04/2018,Spouse,C,Citigroup Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,"Shelley M,Capito"
130,8,01/04/2018,Spouse,CSCO,"Cisco Systems, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
131,7,01/04/2018,Spouse,BMY,Bristol-Myers Squibb Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
132,6,01/26/2018,Spouse,SLB,Schlumberger Limited,Stock,Purchase,"$1,001 - $15,000",--,"Shelley M,Capito"
133,5,01/26/2018,Spouse,RYAAY,Ryanair Holdings plc,Stock,Purchase,"$1,001 - $15,000",--,"Shelley M,Capito"
134,4,01/26/2018,Spouse,INTC,Intel Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Shelley M,Capito"
135,3,01/26/2018,Spouse,HXL,Hexcel Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
136,2,01/26/2018,Spouse,FANUY,Fanuc Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
137,1,01/26/2018,Spouse,DWDP,DowDuPont Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
138,20,01/04/2018,Spouse,GWW,"W.W. Grainger, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
139,19,01/04/2018,Spouse,GE,General Electric Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
140,18,01/04/2018,Spouse,RDS-A,Royal Dutch Shell plc,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
141,17,01/04/2018,Spouse,PG,The Procter & Gamble Company,Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
142,16,01/04/2018,Spouse,NSC,Norfolk Southern Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
143,15,01/04/2018,Spouse,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
144,14,01/04/2018,Spouse,MRK,"Merck & Co., Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
145,13,01/04/2018,Spouse,IBM,International Business Machines Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
146,12,01/04/2018,Spouse,INTC,Intel Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,"Shelley M,Capito"
147,11,01/04/2018,Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
148,10,01/04/2018,Spouse,KO,The Coca-Cola Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
149,9,01/04/2018,Spouse,C,Citigroup Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,"Shelley M,Capito"
150,8,01/04/2018,Spouse,CSCO,"Cisco Systems, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
151,7,01/04/2018,Spouse,BMY,Bristol-Myers Squibb Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
152,6,01/26/2018,Spouse,SLB,Schlumberger Limited,Stock,Purchase,"$1,001 - $15,000",--,"Shelley M,Capito"
153,5,01/26/2018,Spouse,RYAAY,Ryanair Holdings plc,Stock,Purchase,"$1,001 - $15,000",--,"Shelley M,Capito"
154,4,01/26/2018,Spouse,INTC,Intel Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Shelley M,Capito"
155,3,01/26/2018,Spouse,HXL,Hexcel Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
156,2,01/26/2018,Spouse,FANUY,Fanuc Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Shelley M,Capito"
157,1,01/26/2018,Spouse,DWDP,DowDuPont Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
158,4,12/12/2018,Spouse,GIS,"General Mills, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Shelley M,Capito"
159,3,12/13/2018,Spouse,PG,The Procter & Gamble Company,Stock,Purchase,"$1,001 - $15,000",--,"Shelley M,Capito"
